x,y1,y2,time,prey,pred
0,50,15,-0.371528999863384,47.071481348765,15
2.4,44.3831557145849,14.8969057002215,1.91511211270729,43.7708024843254,14.8969057002215
4.8,39.5846947633253,14.6106099024256,4.9684906233376,39.4010315933446,14.6106099024256
7.2,35.612945160056,14.1798758156235,6.6247242809141,34.1660768014672,14.1798758156235
9.6,32.4159118583445,13.6441520013543,10.4457452260816,34.9805059976261,13.6441520013543
12,29.9144490034381,13.039418179666,12.867121872015,32.99428135156,13.039418179666
14.4,28.0240787454356,12.3961896720875,14.6791049938718,30.4245890944229,12.3961896720875
16.8,26.6672001080267,11.7390280005119,16.1303685121463,29.1643030685815,11.7390280005119
19.2,25.7786994470893,11.0869202209919,20.0408336027354,24.0711539908983,11.0869202209919
21.6,25.307642824582,10.4540597907516,21.7876990371078,23.6417546216516,10.4540597907516
24,25.2169321608959,9.85074161390973,24.6786543495064,22.7206119286215,9.85074161390973
26.4,25.482067262234,9.28421966262164,26.6289568696883,25.4264553320527,9.28421966262164
28.8,26.0896238468682,8.7594619330287,29.3747087754336,24.6239293744978,8.7594619330287
31.2,27.0357202975921,8.27978610093328,31.2594852535953,29.2269409031934,8.27978610093328
33.6,28.3245456572365,7.84738354352961,33.2314359495729,29.4850886839263,7.84738354352961
36,29.9669039896745,7.46374970349214,35.8727828676919,31.5083029738911,7.46374970349214
38.4,31.9786564345131,7.13004174414779,37.7566760070537,31.6801478165464,7.13004174414779
40.8,34.378887273923,6.8473839115826,41.3210590062097,37.3429187516655,6.8473839115826
43.2,37.1875702025336,6.61713892572537,43.294646979855,34.9652927573636,6.61713892572537
45.6,40.4224603231938,6.44116078047993,45.2942001230704,39.5171040460515,6.44116078047993
48,44.094889119634,6.32204035749694,47.4052666024485,47.5186839021863,6.32204035749694
50.4,48.2041078907071,6.26334921462919,50.4583518812567,45.1492253667415,6.26334921462919
52.8,52.7298415079031,6.26987672695559,52.7454565695351,52.6648144888517,6.26987672695559
55.2,57.6228382506631,6.34783798661096,55.2639004836723,57.4894166779378,6.34783798661096
57.6,62.7935323788159,6.50499944049205,57.7576611589484,60.420162813536,6.50499944049205
60,68.0996203193065,6.75062005388129,60.0492880530013,69.7599966281067,6.75062005388129
